Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Medina - 3 room apartment in Friedrichshain (Berlin);2700;2095;605;2000;91;2;6; 10245 Berlin, Friedrichshain;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/35470764
AGRON - 2 rooms apartment in Kreuzberg (Berlin);1560;1245;315;2000;51;2;3; 10965 Berlin, Kreuzberg;Möbliert, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;03.02.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34034445
Roncal - 4-Zimmer-Wohnung mit Balkon in Friedrichshain;2925;2495;430;2000;79;3;1; 10245 Berlin, Friedrichshain;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470528
Conil - 3 bedrooms in Kreuzberg;2904;2190;714;2000;153;3;1; 10997 Berlin, Kreuzberg;Möbliert, Neubau, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35665721
"Cozy &amp; bright flat, perfect for single professional or a couple, looking for transitional home (Übergangswohnung) -1 year";1570;1200;370;1500;71;2.5;2; 10315 Berlin, Lichtenberg;Möbliert, Keller, Altbau, Wohnen auf Zeit, renoviert, Energieausweis nicht notwendig (Denkmalschutz);;0000;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;17.02.2025;;Gas;;https://www.wohnungsboerse.net/immodetail/36686722
Schöne 2,5 Zi Wohnung in Wedding/Reinickendorf nahe Osloer Straße;1350;1350;;;60;2.5;; 13407 Berlin, Wedding;Energieausweis in Vorbereitung;;1930;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2025;;;;https://www.wohnungsboerse.net/immodetail/36627699
Vollmöbliertes Apartment im Graefekiez, 3 Monate verfügbar.;1500;1500;;;82;3;5; 10967 Berlin, Kreuzberg;Möbliert, Aufzug, Altbau, WG geeignet, Wohnen auf Zeit, vollständig renoviert, Energieausweis in Vorbereitung;;1979;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;01.03.2025;;;;https://www.wohnungsboerse.net/immodetail/36658253
Möblierte 3 Zimmer Wohnung in Charlottenburg am Siemens Innovation Camp am Heilmannring.;1600;1300;200;4500;72;3;; 13627 Berlin, Charlottenburg;Möbliert, Altbau, Neubau, WG geeignet, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;1960;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36563686
Großartiges zentrales Apartment mit phantastischem Blick über Berlin zum fairen Preis;989;709;280;2000;24;1;11; 10557 Berlin, Moabit;Möbliert, Aufzug, Neubau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;2020;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;15.03.2025;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36636202
Terrassenwohnung zur Miete + TG Stellplatz;3169;2635;534;7935;176;4.5;5; 10245 Berlin, Friedrichshain;Aufzug, Keller, Altbau, Neubau, Energieausweis in Vorbereitung;;2008;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;ab sofort;;Öl;;https://www.wohnungsboerse.net/immodetail/36633907
