Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Tannhaus Apartments - Fir Classic;1385;1385;;;30;2;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878238
Tannhaus Apartments - Fir Classic Balcony;1445;1445;;;34;2;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878239
Tannhaus Apartments - Fir Superior;1525;1525;;;40;2;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878240
Tannhaus Apartments - Sequioa Classic;1825;1825;;;52;2;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878241
Tannhaus Apartments - Sequioa Classic Balcony;1885;1885;;;50;2;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878242
Tannhaus Apartments - Sequioa Superior;2325;2325;;;57;3;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878244
Tannhaus Apartments - Sequioa Superior Balcony;2485;2485;;;67;3;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878245
Tannhaus Apartments - Fir Superior Balcony;1585;1585;;;42;2;2; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33876032
Tannhaus Apartments - Pine Classic Balcony;1225;1225;;;27;1;1; 12055 Berlin, Neukölln;Möbliert, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878232
Tannhaus Apartments - Pine Superior Balcony;1385;1385;;;31;1;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878233
Tannhaus Apartments - Pine Superior;1325;1325;;;31;1;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878234
Tannhaus Apartments - Cedar Balcony;1485;1485;;;40;1;1; 12055 Berlin, Neukölln;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Bedarfsausweis;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04.2024;A;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33878236
Voll möbliertes Ein-Zimmer- Appartement im Herzen von Berlin;820;670;150;1700;25;1;1; 13353 Berlin, Wedding;Möbliert, Keller, Altbau, Tiere erlaubt, Energieausweis in Vorbereitung;;1990;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;26.01.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/33933744
mütliches Apartment im herzen Berlins mit hochwertiger Ausstattung;2250;1900;350;4000;74;2;; 10963 Berlin, Kreuzberg;Möbliert, Keller, Altbau, WG geeignet, Wohnen auf Zeit, saniert, Energieausweis in Vorbereitung;;1902;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33890918
Zentrale vollmöblierte 2,5 Zimmer-Wohnung für 3 Monate zu vermieten;1900;1500;400;1000;110;2.5;2; 10435 Berlin, Prenzlauer Berg;Möbliert, Aufzug, Keller, Altbau, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;1912;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/33876022
Exklusive, geräumige 1-Zimmer-Wohnung in Berlin;1000;790;210;2370;40;1;4; 12439 Berlin, Niederschöneweide;Möbliert, Aufzug, Energieausweis in Vorbereitung;;2000;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/33808797
Zwischenmiete meiner 2-Zimmer-Wohnung Wedding Ubahn-Rehberge;940;780;160;1800;46.29;2;1; 13349 Berlin, Wedding;Keller, Altbau, Tiere erlaubt, Teilmöbliert, gepflegt, Strom, Energieausweis in Vorbereitung;;1964;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;18.12.2023;;;;https://www.wohnungsboerse.net/immodetail/33741302
Sublet 01.02.2024 - 31.07.2024 (can be longer);1650;1350;300;3900;57.5;2;5; 10115 Berlin;Möbliert, Aufzug, Neubau, Wohnen auf Zeit, Energieausweis in Vorbereitung;;2000;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2024;;;;https://www.wohnungsboerse.net/immodetail/33645720
1 Raum Wohnung für 3 Monate von Januar bis März 2024;450;450;;;33;1;5; 10551 Berlin, Moabit;Möbliert, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis nicht notwendig (Denkmalschutz);;1914;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;29.12.2023;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33622714
Wunderschöne möblierte 2-Raum Wohnung in toller Lage;1200;1000;200;2000;45;2;2; 12489 Berlin, Adlershof;Möbliert, Neubau, Erstbezug, Solar, Energieausweis in Vorbereitung;;2017;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.12.2023;;;;https://www.wohnungsboerse.net/immodetail/33567808
Zentral gelegen und doch ruhig.;1960;1600;360;3000;75;3;3; 12157 Berlin, Schöneberg;Möbliert, Keller, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1932;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.12.2023;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33470827
Dachwohnung Li West;2150;1700;450;;100;3.5;3; 12203 Berlin, Lichterfelde;Keller, Altbau, Teilmöbliert, Energieausweis in Vorbereitung;;1905;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;01.02.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/33461431
WG-Zimmer, 28qm in einer 72 qm helle Wohnung Gropiuspassagen;750;650;100;1950;72;2;4; 12353 Berlin, Gropiusstadt;Aufzug, Keller, Neubau, WG geeignet, Teilmöbliert, renoviert, Energieausweis in Vorbereitung;;1964;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.10.2023;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/32855282
Ruhig und hell sehr verkehrsgünstig gelegen, sehr gefragte gute Wohngegend nähe Rüdesheimer Platz, Altbau möbliert  von Dez 23 bis April 24, an seriöse Mieter zu  vermieten;1800;1650;50;2500;90;3;2; 14197 Berlin, Wilmersdorf;Möbliert, Altbau, Wohnen auf Zeit, teilweise renoviert, Energieausweis nicht notwendig (Denkmalschutz);;1912;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.12.2023;;Gas;;https://www.wohnungsboerse.net/immodetail/33325353
Schicke 2 Raum-Wohnung, saniert;840;750;90;2250;62;2;3; 13089 Berlin, Heinersdorf;Neubau, Tiere erlaubt, renoviert, Energieausweis in Vorbereitung;;1985;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/33296593
Schöne, helle und gemütlich möblierte Altbauwohnung in Berlin;1000;900;100;2000;41;2;; 10551 Berlin, Moabit;Möbliert, Altbau, Tiere erlaubt, Behindertengerecht, renoviert, Energieausweis in Vorbereitung;;1902;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/33284262
Neubau 1 Zimmer Kudamm mit Terrasse und Fahrstuhl zu vermieten;1000;800;200;500;30;2;5; 10707 Berlin, Charlottenburg;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Gas;;https://www.wohnungsboerse.net/immodetail/33259731
Möbiliertes Zimmer in  WG  mit Balkon;370;370;;;30;2;; 10999 Berlin, Kreuzberg;Möbliert, Aufzug, Keller, Energieausweis in Vorbereitung;;2010;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.11.2023;;;;https://www.wohnungsboerse.net/immodetail/32357361
20.12.23.-30.6.2024 Zwischenmiete grüne Oase inmitten von Friedrichshain zu vermieten;1500;1250;150;2500;57;2;3; 10249 Berlin, Friedrichshain;Möbliert, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;20.12.2023;;;;https://www.wohnungsboerse.net/immodetail/32610351
Möbliertes 2-Zimmer Apartment in Berlin Prenzlauer Berg;1400;1000;400;2500;73;2;3; 10247 Berlin, Friedrichshain;Möbliert, Keller, Altbau, Tiere erlaubt, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;09.10.2023;;Gas;;https://www.wohnungsboerse.net/immodetail/33133221
Penthouse mit Dachterasse 16.11.23 - 16.03.24;2100;2100;;;95;3.5;5; 13187 Berlin, Pankow;Möbliert, Aufzug, Neubau, Behindertengerecht, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;16.11.2023;;Gas;;https://www.wohnungsboerse.net/immodetail/33120233
3.5 Zimmer Altbauwohnung nahe KaDeWe;2170;2170;;;90;3.5;3; 10777 Berlin, Schöneberg;Möbliert, Loggia, Keller, Altbau, WG geeignet, Wohnen auf Zeit, modernisiert, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/33037308
Einzimmerwohnung in einer Herberge;2150;1850;300;2800;68;1;2; 13407 Berlin, Reinickendorf;Möbliert, Neubau, Tiere erlaubt, gepflegt, Energieausweis in Vorbereitung;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;30.08.2023;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/32999764
Zentrale Wohnung mit Balkon und Fußbodenheizung;1800;1600;200;1000;46;2;4; 13349 Berlin, Wedding;Möbliert, Aufzug, Keller, Neubau, Wohnen auf Zeit, Erstbezug, Energieausweis in Vorbereitung;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;03.09.2023;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/32989243
Neubauwohnung mit Garten/Garagestellplatz/Keller/Einbauküche nahe S-Lichterfelde-Ost;1550;1200;350;3600;67.57;1.5;; 12247 Berlin, Lankwitz;Aufzug, Keller, Neubau, Behindertengerecht, Erstbezug, Energieausweis in Vorbereitung;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/32985309
Penthouse mit Sonnenterasse --Erstbezug, Aufzug unabhängig vom Gas;2275;1975;300;2275;80;3;5; 10249 Berlin, Friedrichshain;Aufzug, Neubau, WG geeignet, Tiere erlaubt, Teilmöbliert, Erstbezug, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;ab sofort;;Wärmepumpe;;https://www.wohnungsboerse.net/immodetail/32902996
Nähe S-Bahn Priesterweg;1200;990;210;1800;55;1;1; 12157 Berlin, Steglitz;Möbliert, Altbau, Wohnen auf Zeit, gepflegt, Bedarfsausweis;;1957;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/32889313
Traum 2 Zi Wohnung am Savignyplatz;2300;2000;180;4000;78;2;5; 10623 Berlin;Möbliert, Aufzug, Neubau, Wohnen auf Zeit, renoviert, Energieausweis nicht notwendig (Denkmalschutz);;1910;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.08.2023;;Gas;;https://www.wohnungsboerse.net/immodetail/32738932
modern, zentral und ruhig im schönen Friedrichshain;1750;1600;75;3200,00;47;2;2; 10243 Berlin, Friedrichshain;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, vollständig renoviert, Energieausweis in Vorbereitung;;2013;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.08.2023;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/32690798
Gepflegte 4-Zimmer-EG-Wohnung mit großer Terrasse und EBK in Berlin Prenzlauer Berg;2920;2420;300;3;116;4;; 10437 Berlin, Prenzlauer Berg;Keller, Altbau, WG geeignet, Tiere erlaubt, Behindertengerecht, gepflegt, Energieausweis in Vorbereitung;;1980;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;01.08.2023;;Gas;;https://www.wohnungsboerse.net/immodetail/32682922
Exklusive, geräumige, helle 2-Zimmer-Wohnung mit hochwertiger Ausstattung zu vermieten;1302,40;996;306,40;2990,40;71;2;3; 12689 Berlin, Marzahn;Aufzug, Keller, Neubau, Fussbodenheizung, Energieausweis in Vorbereitung;;2020;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.07.2023;;;;https://www.wohnungsboerse.net/immodetail/32382829
Grosses WG-Zimmer in wunderschönen Wohnung im Herzen Charlottenburgs;1095;870;75;2910;25;1;4; 14057 Berlin, Charlottenburg;Keller, Altbau, WG geeignet, Teilmöbliert, Energieausweis in Vorbereitung;;0000;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/32334471
Elegante 2-zimmer/wohnung in Berlin;1207;963;145;1000;48;2;2; 10245 Berlin;Möbliert, Keller, Tiere erlaubt, modernisiert, Energieausweis nicht notwendig (Denkmalschutz);;1996;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/32334476
Lichtdurchflutete moderne Neubauwohnung;1330;1200;130;;38;1;4; 10999 Berlin, Kreuzberg;Aufzug, Keller, Neubau, Erstbezug, Verbrauchsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/32334467
Charmante Altbauwohnung in Top-City Lage in Berlin-Mitte;1600;1400;200;1600;91;3;2; 10115 Berlin, Mitte;Möbliert, Loggia, Aufzug, Keller, Altbau, Behindertengerecht, Erstbezug, Energieausweis in Vorbereitung;;1870;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Verfügbar;keine Angabe;;Gas;;https://www.wohnungsboerse.net/immodetail/32334432
Moderne Vollmöblierung und EKB in Berlin;1450;1250;200;2500;100;2;2; 10783 Berlin, Schöneberg;Möbliert, Tiere erlaubt, geheizt wird über Strom;;1991;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/32216961
Neue Unterkünfte nicht nur für Monteure;3000;3000;;;42;1;; 13347 Berlin, Gesundbrunnen;Möbliert, Altbau, WG geeignet, Teilmöbliert, Wohnen auf Zeit, Energieausweis in Vorbereitung;;1997;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;06.07.2023;;;;https://www.wohnungsboerse.net/immodetail/32191301
Wunderschönes möbliertes Apartment in Berlin Mitte;2300;2150;150;4600;42;1.5;2; 10115 Berlin, Mitte;Möbliert, Aufzug, Neubau, Behindertengerecht, Wohnen auf Zeit, vollständig renoviert, Erdwärme, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2023;;;;https://www.wohnungsboerse.net/immodetail/32068852
Klein aber fein!;830;830;;;35;2;2; 10437 Berlin, Prenzlauer Berg;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, modernisiert, Energieausweis in Vorbereitung;;2000;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/31899972
4 Zimmer Wohnung nahe Akazien-Kiez, AB, Parkett, Stuck, Flügeltüren, ruhige Lage,  Gäste-WC, VH, 3.OG, hell, gepflegter Zustand des Hauses, angenehme Mitbewohner.;2112,50;1482,50;230;4447,50;136;4;; 10823 Berlin, Schöneberg;Loggia, Aufzug, Keller, Altbau, gepflegt, Energieausweis nicht notwendig (Denkmalschutz);;1905;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2023;;Gas;;https://www.wohnungsboerse.net/immodetail/31756023
Helles 3-Zimmer-Wohnung im 5.OG Berlin neben der Volkspark Humboldthain;2900;2400;500;2400;132;3;5; 13355 Berlin;Möbliert, Aufzug, Keller, Altbau, Tiere erlaubt, Behindertengerecht, modernisiert, Verbrauchsausweis;;1995;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Verfügbar;15.03.2023;D;Gas;;https://www.wohnungsboerse.net/immodetail/31599176
2 Zimmer Neubau Wohnung in Lankwitz zum 01.04 zu vermieten;1349;1100;249;3300;43;2;; 12249 Berlin, Lankwitz;Aufzug, Keller, Neubau, gepflegt, Energieausweis in Vorbereitung;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2023;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/31576696
Neubau Erstbezug - 3-Zimmer-Wohnung mit 143 m² Wfl.;2295;2145;150;6435,00;143;3;2; 12526 Berlin, Bohnsdorf;Neubau, Erstbezug, Energieausweis in Vorbereitung;;2022;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;Wärmepumpe;;https://www.wohnungsboerse.net/immodetail/31463174
Charmante Villenetage am Waldsee;1500;1150;150;3450;106;4;1; 13467 Berlin, Hermsdorf;Keller, Altbau, gepflegt, Energieausweis in Vorbereitung;;1936;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;E;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/31055489
2-Z-Neubau, Erstbezug;1400;1100;300;3000;63;1.5;2; 13158 Berlin, Wilhelmsruh;Möbliert, Aufzug, Keller, Neubau, Behindertengerecht, Wohnen auf Zeit, Erstbezug, Fussbodenheizung, Energieausweis in Vorbereitung;;2016;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.12.22;;;;https://www.wohnungsboerse.net/immodetail/30640203
Schöne Einzimmerwohnung im Herzen des Friedrichshains;535;535;;;29;1;2; 10247 Berlin, Friedrichshain;einfach, Erstbezug, Energieausweis in Vorbereitung;;1970;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/29924364
Sommerresidenz für Familie;4000;4000;;;170;4;"1
                                                                                    von 1"; 10967 Berlin, Kreuzberg;Möbliert, Altbau, Wohnen auf Zeit, Luxus, Erstbezug, Energieausweis in Vorbereitung;;1890;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;14.07.22;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/29892362
2 Zimmer Wohnung in Berlin Lankwitz Erstbezug Neubau;1121;999;122;3000;43;2;; 12249 Berlin, Lankwitz;Keller, Neubau, gehoben, Erstbezug, Fussbodenheizung, Energieausweis in Vorbereitung;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/28351524
Traumwohnung zur gemeinsamen Fertigstellung;3000;1300;200;3000;85;3;"1
                                                                                    von 2"; 14167 Berlin, Zehlendorf;Keller, Neubau, WG geeignet, Tiere erlaubt, gehoben, Erstbezug, Erdwärme, Energieausweis in Vorbereitung;;2019;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;01.06.2021;;;;https://www.wohnungsboerse.net/immodetail/26788582
Sonniges möbliertes Single Appartement in Zehlendorf-Mitte für 3 Jahre;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>13,15";710;;;54;2;"2
                                                                                    von 4";;Möbliert, Aufzug, Energieausweis in Vorbereitung;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.2.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36703729
Beautiful fully furnished 3-bedroom apartment in Prenzlauer Berg;2400;1950;450;;80;3;"3
                                                                                    von 5"; 10407 Berlin, Prenzlauer Berg;Aufzug, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;1.3.2025;;Gas;;https://www.wohnungsboerse.net/immodetail/36629179
79 m², 3 Zimmer Berlin Lichtenberg;1880;1600;280;;79;3;"1
                                                                                    von 3"; 10315 Berlin, Friedrichsfelde;Aufzug, Keller, liegt vor;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;15.2.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36680233
Schillerkiez New-Build Studio with Green Oasis;1650;1450;200;;52;1;; 12049 Berlin, Neukölln;Aufzug, Behindertengerecht, Energieausweis in Vorbereitung;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;10.2.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36699550
Erstbezug nach aufwendiger Sanierung!Helle 2 Zimmer Luxus Whg 60qm,mit Garten und Balkon;1299;1179;120;;60;2;"1
                                                                                    von 5"; 13509 Berlin, Wittenau;Keller, Tiere erlaubt, Verbrauchsausweis;;1890;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;4.2.2025;B;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36703650
4 Zimmer Reinhaus in Lichtenrade;1570;1450;120;;90;4;"1
                                                                                    von 1";;Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;1.5.2025;;;;https://www.wohnungsboerse.net/immodetail/36703663
Besser leben im Kiez;1124,99;743,99;381;;75;3;; 12043 Berlin, Neukölln;Bedarfsausweis;;1906;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;D;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36703690
"Helle &amp; Moderne 45m² Wohnung mit Gartenblick in Spandau | Langzeitmiete";1100;800;300;;45;1;"1
                                                                                    von 4"; 13587 Berlin, Spandau;Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;4.2.2025;;;;https://www.wohnungsboerse.net/immodetail/36703697
